time,angle1,angle2
0,0.017,0
0.05,0.035,0.017
0.1,0.035,0.035
0.15,0.035,0.052
0.2,0.035,0.087
0.25,0.017,0.105
0.3,0.017,0.14
0.35,0.017,0.157
0.4,0,0.192
0.45,0,0.209
0.5,0,0.227
0.55,-0.017,0.227
0.6,-0.017,0.227
0.65,-0.017,0.209
0.7,-0.017,0.192
0.75,-0.017,0.157
0.8,-0.017,0.14
0.85,-0.017,0.105
0.9,0,0.087
0.95,0,0.052
1,0.017,0.035
1.05,0.017,0.017
1.1,0.035,0.017
1.15,0.035,0.017
1.2,0.035,0.035
1.25,0.052,0.052
1.3,0.052,0.07
1.35,0.052,0.087
1.4,0.035,0.122
1.45,0.035,0.14
1.5,0.017,0.175
1.55,0.017,0.192
1.6,0,0.209
1.65,-0.017,0.209
1.7,-0.017,0.209
1.75,-0.035,0.209
1.8,-0.035,0.192
1.85,-0.035,0.175
1.9,-0.035,0.157
1.95,-0.035,0.122
2,-0.017,0.105
2.05,0,0.087
2.1,0,0.07
2.15,0.017,0.052
2.2,0.035,0.035
2.25,0.035,0.035
2.3,0.052,0.035
2.35,0.052,0.035
2.4,0.052,0.052
2.45,0.052,0.07
2.5,0.052,0.087
2.55,0.035,0.105
2.6,0.017,0.14
2.65,0.017,0.157
2.7,0,0.175
2.75,-0.017,0.192
2.8,-0.035,0.192
2.85,-0.035,0.192
2.9,-0.035,0.192
2.95,-0.035,0.192
3,-0.035,0.175
3.05,-0.035,0.157
3.1,-0.017,0.14
3.15,0,0.122
3.2,0,0.105
3.25,0.017,0.087
3.3,0.035,0.07
3.35,0.052,0.052
3.4,0.052,0.052
3.45,0.052,0.035
3.5,0.052,0.052
3.55,0.052,0.052
3.6,0.052,0.07
3.65,0.035,0.07
3.7,0.017,0.105
3.75,0.017,0.122
3.8,0,0.14
3.85,-0.017,0.157
3.9,-0.017,0.175
3.95,-0.035,0.192
4,-0.035,0.192
4.05,-0.035,0.192
4.1,-0.035,0.192
4.15,-0.035,0.192
4.2,-0.017,0.175
4.25,-0.017,0.157
4.3,0,0.14
4.35,0.017,0.105
4.4,0.017,0.087
4.45,0.035,0.07
4.5,0.052,0.052
4.55,0.052,0.052
4.6,0.052,0.035
4.65,0.052,0.035
4.7,0.052,0.052
4.75,0.052,0.052
4.8,0.035,0.07
4.85,0.017,0.087
4.9,0.017,0.105
4.95,0,0.14
5,-0.017,0.157
5.05,-0.017,0.175
5.1,-0.035,0.192
5.15,-0.035,0.192
5.2,-0.035,0.192
5.25,-0.035,0.192
5.3,-0.035,0.192
5.35,-0.017,0.175
5.4,-0.017,0.157
5.45,0,0.14
5.5,0.017,0.122
5.55,0.017,0.087
5.6,0.035,0.07
5.65,0.052,0.07
5.7,0.052,0.052
5.75,0.052,0.035
5.8,0.052,0.035
5.85,0.052,0.052
5.9,0.052,0.052
5.95,0.035,0.07
6,0.017,0.087
6.05,0.017,0.105
6.1,0,0.122
6.15,-0.017,0.157
6.2,-0.017,0.175
6.25,-0.035,0.175
6.3,-0.035,0.192
6.35,-0.035,0.192
6.4,-0.035,0.192
6.45,-0.035,0.192
6.5,-0.017,0.175
6.55,-0.017,0.157
6.6,0,0.14
6.65,0.017,0.122
6.7,0.017,0.105
6.75,0.035,0.087
6.8,0.052,0.07
6.85,0.052,0.052
6.9,0.052,0.052
6.95,0.052,0.035
7,0.052,0.052
7.05,0.052,0.052
7.1,0.035,0.07
7.15,0.017,0.087
7.2,0.017,0.105
7.25,0,0.122
7.3,-0.017,0.14
7.35,-0.017,0.157
7.4,-0.035,0.175
7.45,-0.035,0.192
7.5,-0.035,0.192
7.55,-0.035,0.192
7.6,-0.035,0.192
7.65,-0.017,0.175
7.7,-0.017,0.157
7.75,0,0.14
7.8,0.017,0.122
7.85,0.017,0.105
7.9,0.035,0.087
7.95,0.052,0.07
8,0.052,0.052
8.05,0.052,0.052
8.1,0.052,0.052
8.15,0.052,0.052
8.2,0.052,0.052
8.25,0.035,0.07
8.3,0.017,0.087
8.35,0.017,0.105
8.4,0,0.122
8.45,-0.017,0.14
8.5,-0.017,0.157
8.55,-0.035,0.175
8.6,-0.035,0.192
8.65,-0.035,0.192
8.7,-0.035,0.192
8.75,-0.035,0.192
8.8,-0.017,0.175
8.85,-0.017,0.157
8.9,0,0.14
8.95,0.017,0.122
9,0.017,0.105
9.05,0.035,0.087
9.1,0.052,0.07
9.15,0.052,0.052
9.2,0.052,0.052
9.25,0.052,0.052
9.3,0.052,0.052
9.35,0.052,0.052
9.4,0.035,0.07
9.45,0.017,0.087
9.5,0.017,0.105
9.55,0,0.122
9.6,-0.017,0.14
9.65,-0.017,0.157
9.7,-0.035,0.175
9.75,-0.035,0.175
9.8,-0.035,0.192
9.85,-0.035,0.192
9.9,-0.035,0.192
9.95,-0.017,0.175
10,-0.017,0.157
10.05,0,0.157
10.1,0.017,0.122
10.15,0.017,0.105
10.2,0.035,0.087
10.25,0.052,0.07
10.3,0.052,0.07
10.35,0.052,0.052
10.4,0.052,0.052
10.45,0.052,0.052
10.5,0.052,0.052
10.55,0.035,0.07
10.6,0.017,0.087
10.65,0.017,0.105
10.7,0,0.122
10.75,-0.017,0.14
10.8,-0.017,0.157
10.85,-0.035,0.175
10.9,-0.035,0.175
10.95,-0.035,0.192
11,-0.035,0.192
11.05,-0.035,0.192
11.1,-0.017,0.175
11.15,-0.017,0.175
11.2,0,0.157
11.25,0.017,0.14
11.3,0.017,0.122
11.35,0.035,0.087
11.4,0.052,0.07
11.45,0.052,0.07
11.5,0.052,0.052
11.55,0.052,0.052
11.6,0.052,0.052
11.65,0.052,0.052
11.7,0.035,0.07
11.75,0.017,0.07
11.8,0.017,0.087
11.85,0,0.105
11.9,-0.017,0.122
11.95,-0.017,0.157
12,-0.035,0.157
12.05,-0.035,0.175
12.1,-0.035,0.192
12.15,-0.035,0.192
12.2,-0.035,0.192
12.25,-0.035,0.175
12.3,-0.017,0.175
12.35,0,0.157
12.4,0.017,0.14
12.45,0.017,0.122
12.5,0.035,0.105
12.55,0.052,0.087
12.6,0.052,0.07
12.65,0.052,0.052
12.7,0.052,0.052
12.75,0.052,0.052
12.8,0.052,0.052
12.85,0.035,0.07
12.9,0.035,0.07
12.95,0.017,0.087
13,0,0.105
13.05,-0.017,0.122
13.1,-0.017,0.14
13.15,-0.035,0.157
13.2,-0.035,0.175
13.25,-0.035,0.175
13.3,-0.035,0.192
13.35,-0.035,0.192
13.4,-0.035,0.175
13.45,-0.017,0.175
13.5,0,0.157
13.55,0,0.14
13.6,0.017,0.122
13.65,0.035,0.105
13.7,0.052,0.087
13.75,0.052,0.07
13.8,0.052,0.052
13.85,0.052,0.052
13.9,0.052,0.052
13.95,0.052,0.052
14,0.035,0.07
14.05,0.035,0.07
14.1,0.017,0.087
14.15,0,0.105
14.2,-0.017,0.122
14.25,-0.017,0.14
14.3,-0.035,0.157
14.35,-0.035,0.175
14.4,-0.035,0.175
14.45,-0.035,0.192
14.5,-0.035,0.192
14.55,-0.035,0.175
14.6,-0.017,0.175
14.65,0,0.157
14.7,0,0.14
14.75,0.017,0.122
14.8,0.035,0.105
14.85,0.035,0.087
14.9,0.052,0.07
14.95,0.052,0.07
15,0.052,0.052
15.05,0.052,0.052
15.1,0.052,0.052
15.15,0.035,0.052
15.2,0.035,0.07
15.25,0.017,0.087
15.3,0,0.105
15.35,-0.017,0.122
15.4,-0.017,0.14
15.45,-0.035,0.157
15.5,-0.035,0.175
15.55,-0.035,0.175
15.6,-0.035,0.192
15.65,-0.035,0.192
15.7,-0.035,0.175
15.75,-0.017,0.175
15.8,0,0.157
15.85,0,0.14
15.9,0.017,0.122
15.95,0.035,0.105
16,0.035,0.087
16.05,0.052,0.07
16.1,0.052,0.07
16.15,0.052,0.052
16.2,0.052,0.052
16.25,0.052,0.052
16.3,0.035,0.052
16.35,0.035,0.07
16.4,0.017,0.087
16.45,0,0.105
16.5,-0.017,0.122
16.55,-0.017,0.14
16.6,-0.035,0.157
16.65,-0.035,0.157
16.7,-0.035,0.175
16.75,-0.035,0.175
16.8,-0.035,0.175
16.85,-0.035,0.175
16.9,-0.017,0.175
16.95,0,0.157
17,0,0.14
17.05,0.017,0.122
17.1,0.035,0.105
17.15,0.035,0.087
17.2,0.052,0.087
17.25,0.052,0.07
17.3,0.052,0.052
17.35,0.052,0.052
17.4,0.052,0.052
17.45,0.035,0.052
17.5,0.035,0.07
17.55,0.017,0.087
17.6,0,0.105
17.65,-0.017,0.122
17.7,-0.017,0.14
17.75,-0.035,0.157
17.8,-0.035,0.157
17.85,-0.035,0.175
17.9,-0.035,0.175
17.95,-0.035,0.175
18,-0.035,0.175
18.05,-0.017,0.175
18.1,-0.017,0.157
18.15,0,0.14
18.2,0.017,0.14
18.25,0.035,0.122
18.3,0.035,0.105
18.35,0.052,0.087
18.4,0.052,0.07
18.45,0.052,0.07
18.5,0.052,0.052
18.55,0.052,0.052
18.6,0.035,0.052
18.65,0.035,0.07
18.7,0.017,0.087
18.75,0,0.105
18.8,0,0.105
18.85,-0.017,0.122
18.9,-0.035,0.14
18.95,-0.035,0.157
19,-0.035,0.175
19.05,-0.035,0.175
19.1,-0.035,0.175
19.15,-0.035,0.175
19.2,-0.017,0.175
19.25,-0.017,0.157
19.3,0,0.157
19.35,0.017,0.14
19.4,0.035,0.122
19.45,0.035,0.105
19.5,0.052,0.087
19.55,0.052,0.07
19.6,0.052,0.07
19.65,0.052,0.052
19.7,0.052,0.052
19.75,0.052,0.052
19.8,0.035,0.07
19.85,0.017,0.087
19.9,0,0.087
19.95,0,0.105
20,-0.017,0.122
20.05,-0.035,0.14
20.1,-0.035,0.157
20.15,-0.035,0.175
20.2,-0.035,0.175
20.25,-0.035,0.175
20.3,-0.035,0.175
20.35,-0.017,0.175
20.4,-0.017,0.157
20.45,0,0.157
20.5,0.017,0.14
20.55,0.035,0.122
20.6,0.035,0.105
20.65,0.052,0.087
20.7,0.052,0.07
20.75,0.052,0.07
20.8,0.052,0.052
20.85,0.052,0.052
20.9,0.052,0.07
20.95,0.035,0.07
21,0.017,0.087
21.05,0,0.087
21.1,0,0.105
21.15,-0.017,0.122
21.2,-0.035,0.14
21.25,-0.035,0.157
21.3,-0.035,0.157
21.35,-0.052,0.175
21.4,-0.035,0.175
21.45,-0.035,0.175
21.5,-0.017,0.175
21.55,-0.017,0.157
21.6,0,0.157
21.65,0.017,0.14
21.7,0.035,0.122
21.75,0.035,0.105
21.8,0.052,0.087
21.85,0.052,0.07
21.9,0.052,0.07
21.95,0.052,0.07
22,0.052,0.052
22.05,0.052,0.07
22.1,0.035,0.07
22.15,0.017,0.07
22.2,0.017,0.087
22.25,0,0.105
22.3,-0.017,0.122
22.35,-0.035,0.14
22.4,-0.035,0.157
22.45,-0.035,0.157
22.5,-0.052,0.175
22.55,-0.035,0.175
22.6,-0.035,0.175
22.65,-0.035,0.175
22.7,-0.017,0.157
22.75,0,0.157
22.8,0.017,0.14
22.85,0.035,0.122
22.9,0.035,0.105
22.95,0.052,0.087
23,0.052,0.087
23.05,0.052,0.07
23.1,0.052,0.07
23.15,0.052,0.07
23.2,0.052,0.07
23.25,0.035,0.07
23.3,0.017,0.07
23.35,0.017,0.087
23.4,0,0.105
23.45,-0.017,0.122
23.5,-0.035,0.14
23.55,-0.035,0.157
23.6,-0.035,0.157
23.65,-0.052,0.175
23.7,-0.035,0.175
23.75,-0.035,0.175
23.8,-0.035,0.175
23.85,-0.017,0.157
23.9,0,0.157
23.95,0.017,0.14
24,0.017,0.122
24.05,0.035,0.105
24.1,0.052,0.105
24.15,0.052,0.087
24.2,0.052,0.07
24.25,0.07,0.07
24.3,0.052,0.07
24.35,0.052,0.07
24.4,0.035,0.07
24.45,0.035,0.07
24.5,0.017,0.087
24.55,0,0.105
24.6,-0.017,0.122
24.65,-0.035,0.14
24.7,-0.035,0.14
24.75,-0.035,0.157
24.8,-0.052,0.175
24.85,-0.052,0.175
24.9,-0.035,0.175
24.95,-0.035,0.175
25,-0.017,0.157
25.05,0,0.157
25.1,0.017,0.14
25.15,0.017,0.122
25.2,0.035,0.105
25.25,0.052,0.105
25.3,0.052,0.087
25.35,0.052,0.07
25.4,0.07,0.07
25.45,0.052,0.07
25.5,0.052,0.07
25.55,0.035,0.07
25.6,0.035,0.07
25.65,0.017,0.087
25.7,0,0.105
25.75,-0.017,0.122
25.8,-0.035,0.122
25.85,-0.035,0.14
25.9,-0.035,0.157
25.95,-0.052,0.157
26,-0.052,0.175
26.05,-0.035,0.175
26.1,-0.035,0.175
26.15,-0.017,0.157
26.2,0,0.157
26.25,0,0.14
26.3,0.017,0.122
26.35,0.035,0.122
26.4,0.052,0.105
26.45,0.052,0.087
26.5,0.052,0.07
26.55,0.07,0.07
26.6,0.052,0.07
26.65,0.052,0.07
26.7,0.035,0.07
26.75,0.035,0.07
26.8,0.017,0.087
26.85,0,0.105
26.9,-0.017,0.122
26.95,-0.017,0.122
27,-0.035,0.14
27.05,-0.035,0.157
27.1,-0.052,0.157
27.15,-0.052,0.175
27.2,-0.035,0.175
27.25,-0.035,0.175
27.3,-0.017,0.157
27.35,0,0.157
27.4,0,0.14
27.45,0.017,0.14
27.5,0.035,0.122
27.55,0.052,0.105
27.6,0.052,0.087
27.65,0.052,0.087
27.7,0.07,0.07
27.75,0.052,0.07
27.8,0.052,0.07
27.85,0.052,0.07
27.9,0.035,0.07
27.95,0.017,0.087
28,0,0.105
28.05,-0.017,0.105
28.1,-0.017,0.122
28.15,-0.035,0.14
28.2,-0.035,0.157
28.25,-0.052,0.157
28.3,-0.052,0.175
28.35,-0.035,0.175
28.4,-0.035,0.175
28.45,-0.017,0.157
28.5,-0.017,0.157
28.55,0,0.14
28.6,0.017,0.14
28.65,0.035,0.122
28.7,0.052,0.105
28.75,0.052,0.087
28.8,0.052,0.087
28.85,0.07,0.07
28.9,0.07,0.07
28.95,0.052,0.07
29,0.052,0.07
29.05,0.035,0.07
29.1,0.017,0.087
29.15,0,0.105
29.2,-0.017,0.105
29.25,-0.017,0.122
29.3,-0.035,0.14
29.35,-0.035,0.157
29.4,-0.052,0.157
29.45,-0.052,0.157
29.5,-0.052,0.175
29.55,-0.035,0.175
29.6,-0.017,0.157
29.65,-0.017,0.157
29.7,0,0.14
29.75,0.017,0.14
29.8,0.035,0.122
29.85,0.052,0.105
29.9,0.052,0.087
29.95,0.052,0.087
30,0.07,0.07
30.05,0.07,0.07
30.1,0.052,0.07
30.15,0.052,0.07
30.2,0.035,0.07
30.25,0.017,0.087
30.3,0,0.105
30.35,0,0.105
30.4,-0.017,0.122
30.45,-0.035,0.14
30.5,-0.035,0.14
30.55,-0.052,0.157
30.6,-0.052,0.157
30.65,-0.052,0.175
30.7,-0.035,0.175
30.75,-0.035,0.157
30.8,-0.017,0.157
30.85,0,0.14
30.9,0.017,0.14
30.95,0.035,0.122
31,0.035,0.105
31.05,0.052,0.105
31.1,0.052,0.087
31.15,0.07,0.07
31.2,0.07,0.07
31.25,0.052,0.07
31.3,0.052,0.07
31.35,0.035,0.07
31.4,0.017,0.087
31.45,0.017,0.105
31.5,0,0.105
31.55,-0.017,0.122
31.6,-0.035,0.14
31.65,-0.035,0.14
31.7,-0.052,0.157
31.75,-0.052,0.157
31.8,-0.052,0.157
31.85,-0.035,0.157
31.9,-0.035,0.157
31.95,-0.017,0.157
32,0,0.14
32.05,0.017,0.14
32.1,0.035,0.122
32.15,0.035,0.105
32.2,0.052,0.105
32.25,0.052,0.087
32.3,0.07,0.087
32.35,0.07,0.07
32.4,0.052,0.07
32.45,0.052,0.07
32.5,0.035,0.07
32.55,0.017,0.087
32.6,0.017,0.087
32.65,0,0.105
32.7,-0.017,0.122
32.75,-0.035,0.14
32.8,-0.035,0.14
32.85,-0.052,0.157
32.9,-0.052,0.157
32.95,-0.052,0.157
33,-0.035,0.157
33.05,-0.035,0.157
33.1,-0.017,0.157
33.15,0,0.14
33.2,0.017,0.14
33.25,0.035,0.122
33.3,0.035,0.105
33.35,0.052,0.105
33.4,0.052,0.087
33.45,0.07,0.087
33.5,0.07,0.07
33.55,0.052,0.07
33.6,0.052,0.07
33.65,0.035,0.07
33.7,0.035,0.087
33.75,0.017,0.087
33.8,0,0.105
33.85,-0.017,0.122
33.9,-0.035,0.122
33.95,-0.035,0.14
34,-0.052,0.157
34.05,-0.052,0.157
34.1,-0.052,0.157
34.15,-0.035,0.157
34.2,-0.035,0.157
34.25,-0.017,0.157
34.3,0,0.14
34.35,0.017,0.14
34.4,0.017,0.122
34.45,0.035,0.122
34.5,0.052,0.105
34.55,0.052,0.087
34.6,0.07,0.087
34.65,0.07,0.07
34.7,0.052,0.07
34.75,0.052,0.07
34.8,0.035,0.087
34.85,0.035,0.087
34.9,0.017,0.087
34.95,0,0.105
35,-0.017,0.122
35.05,-0.035,0.122
35.1,-0.035,0.14
35.15,-0.052,0.157
35.2,-0.052,0.157
35.25,-0.052,0.157
35.3,-0.035,0.157
35.35,-0.035,0.157
35.4,-0.017,0.157
35.45,0,0.14
35.5,0,0.14
35.55,0.017,0.122
35.6,0.035,0.122
35.65,0.052,0.105
35.7,0.052,0.087
35.75,0.07,0.087
35.8,0.07,0.087
35.85,0.07,0.07
35.9,0.052,0.07
35.95,0.052,0.087
36,0.035,0.087
36.05,0.017,0.087
36.1,0,0.105
36.15,-0.017,0.122
36.2,-0.017,0.122
36.25,-0.035,0.14
36.3,-0.052,0.14
36.35,-0.052,0.157
36.4,-0.052,0.157
36.45,-0.035,0.157
36.5,-0.035,0.157
36.55,-0.017,0.157
36.6,-0.017,0.14
36.65,0,0.14
36.7,0.017,0.122
36.75,0.035,0.122
36.8,0.052,0.105
36.85,0.052,0.087
36.9,0.07,0.087
36.95,0.07,0.087
37,0.07,0.07
37.05,0.052,0.07
37.1,0.052,0.087
37.15,0.035,0.087
37.2,0.017,0.087
37.25,0,0.105
37.3,-0.017,0.122
37.35,-0.017,0.122
37.4,-0.035,0.14
37.45,-0.035,0.14
37.5,-0.052,0.157
37.55,-0.052,0.157
37.6,-0.052,0.157
37.65,-0.035,0.157
37.7,-0.017,0.157
37.75,-0.017,0.14
37.8,0,0.14
37.85,0.017,0.122
37.9,0.035,0.122
37.95,0.052,0.105
38,0.052,0.105
38.05,0.07,0.087
38.1,0.07,0.087
38.15,0.07,0.087
38.2,0.052,0.087
38.25,0.052,0.087
38.3,0.035,0.087
38.35,0.017,0.087
38.4,0,0.105
38.45,-0.017,0.122
38.5,-0.017,0.122
38.55,-0.035,0.14
38.6,-0.035,0.14
38.65,-0.052,0.157
38.7,-0.052,0.157
38.75,-0.052,0.157
38.8,-0.035,0.157
38.85,-0.035,0.157
38.9,-0.017,0.14
38.95,0,0.14
39,0.017,0.122
39.05,0.035,0.122
39.1,0.052,0.105
39.15,0.052,0.105
39.2,0.07,0.087
39.25,0.07,0.087
39.3,0.07,0.087
39.35,0.052,0.087
39.4,0.052,0.087
39.45,0.035,0.087
39.5,0.017,0.087
39.55,0,0.105
39.6,0,0.122
39.65,-0.017,0.122
39.7,-0.035,0.14
39.75,-0.035,0.14
39.8,-0.052,0.157
39.85,-0.052,0.157
39.9,-0.052,0.157
39.95,-0.035,0.157
40,-0.035,0.157
40.05,-0.017,0.14
40.1,0,0.14
40.15,0.017,0.122
40.2,0.035,0.122
